1 1 1 7027 1971 1 0 
2 2 2 7703 2340 1 0 
3 3 3 8568 2797 1 0 
4 4 4 7141 2137 1 0 
5 5 5 12348 4689 1 0 
6 6 6 13829 5562 1 0 
7 7 7 15555 6523 1 0 
8 8 8 10803 4526 1 0 
9 9 9 20854 10078 1 0 
10 10 10 23341 11557 1 0 
11 11 11 26023 13124 1 0 
12 12 12 18814 9945 1 0 
13 13 13 34955 19415 1 0 
14 14 14 38512 21602 1 0 
15 15 15 42182 23877 1 0 
16 16 16 32664 19618 1 0 
17 17 17 56064 33924 1 0 
18 18 18 61225 37049 1 0 
19 19 19 65840 40006 1 0 
20 20 20 54082 34769 1 0 
21 21 21 85994 54829 1 0 
22 22 22 92079 58738 1 0 
23 23 23 98354 62735 1 0 
24 24 24 84606 56622 1 0 
25 25 25 126202 83354 1 0 
26 26 26 133784 88277 1 0 
27 27 27 141569 93288 1 0 
28 28 28 125810 86401 1 0 
29 29 29 178338 120723 1 0 
30 30 30 187550 126762 1 0 
31 31 31 196935 132889 1 0 
32 32 32 179436 125330 1 0 
33 33 33 245292 168812 1 0 
34 34 34 256314 176069 1 0 
35 35 35 267467 183414 1 0 
36 36 36 248090 175311 1 0 
37 37 37 326030 227621 1 0 
38 38 38 338894 236198 1 0 
39 39 39 351917 244863 1 0 
40 40 40 331316 236266 1 0 
41 41 41 423966 298920 1 0 
42 42 42 439113 308919 1 0 
43 43 43 454624 319006 1 0 
44 44 44 432350 310043 1 0 
45 45 45 540499 383959 1 0 
46 46 46 558482 395482 1 0 
47 47 47 576831 407093 1 0 
48 48 48 553856 397866 1 0 
49 49 49 681202 483962 1 0 
50 50 50 702165 497111 1 0 
51 51 51 723598 510348 1 0 
52 52 52 699645 500959 1 0 
53 53 53 847169 600153 1 0 
54 54 54 871047 615030 1 0 
55 55 55 896265 629995 1 0 
56 56 56 868084 620546 1 0 
57 57 57 1034759 733756 1 0 
58 58 58 1058575 750463 1 0 
59 59 59 1083614 767258 1 0 
60 60 60 1056005 757851 1 0 
61 61 61 1243108 885995 1 0 
62 62 62 1273229 904634 1 0 
63 63 63 1300850 923361 1 0 
64 64 64 1268764 914098 1 0 
80 80 80 2556788 1812859 1 0 
96 96 96 4297152 3077499 1 0 
112 112 112 6748558 4829195 1 0 
128 128 128 9928415 7139899 1 0 
192 192 192 33393976 24100209 1 0 
256 256 256 78690348 56793459 1 0 
1 1 1 7939 2189 2 0 
2 2 2 8624 2558 2 0 
3 3 3 9476 3015 2 0 
4 4 4 8048 2355 2 0 
5 5 5 11382 3933 2 0 
6 6 6 12319 4460 2 0 
7 7 7 13428 5019 2 0 
8 8 8 10108 3604 2 0 
9 9 9 18745 8276 2 0 
10 10 10 20830 9490 2 0 
11 11 11 23135 10792 2 0 
12 12 12 16467 7868 2 0 
13 13 13 25637 12593 2 0 
14 14 14 27611 13744 2 0 
15 15 15 29577 14927 2 0 
16 16 16 22747 12120 2 0 
17 17 17 42113 23646 2 0 
18 18 18 46196 26037 2 0 
19 19 19 49755 28260 2 0 
20 20 20 38777 23329 2 0 
21 21 21 54763 32221 2 0 
22 22 22 57954 34200 2 0 
23 23 23 61253 36211 2 0 
24 24 24 51560 32216 2 0 
25 25 25 85097 53248 2 0 
26 26 26 90696 56764 2 0 
27 27 27 96497 60368 2 0 
28 28 28 81489 53634 2 0 
29 29 29 105689 67713 2 0 
30 30 30 110499 70724 2 0 
31 31 31 115274 73767 2 0 
32 32 32 103114 68788 2 0 
33 33 33 155068 102429 2 0 
34 34 34 163175 107402 2 0 
35 35 35 171328 112463 2 0 
36 36 36 152517 104156 2 0 
37 37 37 185814 124442 2 0 
38 38 38 192470 128689 2 0 
39 39 39 198949 132968 2 0 
40 40 40 184249 127209 2 0 
41 41 41 256309 175263 2 0 
42 42 42 266894 181897 2 0 
43 43 43 277667 188619 2 0 
44 44 44 255143 178891 2 0 
45 45 45 299454 206404 2 0 
46 46 46 308449 212091 2 0 
47 47 47 317776 217810 2 0 
48 48 48 303372 211475 2 0 
49 49 49 401383 276991 2 0 
50 50 50 414844 285490 2 0 
51 51 51 429166 294077 2 0 
52 52 52 404277 283158 2 0 
53 53 53 463765 318918 2 0 
54 54 54 475302 326249 2 0 
55 55 55 488527 333612 2 0 
56 56 56 470059 326905 2 0 
57 57 57 597079 412535 2 0 
58 58 58 612890 423103 2 0 
59 59 59 629333 433759 2 0 
60 60 60 599371 421853 2 0 
61 61 61 671672 466880 2 0 
62 62 62 687347 476059 2 0 
63 63 63 700619 485270 2 0 
64 64 64 681244 478395 2 0 
80 80 80 1361135 939927 2 0 
96 96 96 2273633 1586111 2 0 
112 112 112 3554008 2478541 2 0 
128 128 128 5213163 3652749 2 0 
192 192 192 17519764 12330755 2 0 
256 256 256 40986738 28894823 2 0 
1 1 1 8072 2189 3 0 
2 2 2 8729 2558 3 0 
3 3 3 9597 3015 3 0 
4 4 4 8172 2355 3 0 
5 5 5 11405 3933 3 0 
6 6 6 12351 4460 3 0 
7 7 7 13420 5019 3 0 
8 8 8 10152 3604 3 0 
9 9 9 15409 6188 3 0 
10 10 10 16691 6869 3 0 
11 11 11 17976 7582 3 0 
12 12 12 13410 5573 3 0 
13 13 13 26140 12773 3 0 
14 14 14 28773 14328 3 0 
15 15 15 31535 15971 3 0 
16 16 16 22911 12120 3 0 
17 17 17 34283 18106 3 0 
18 18 18 36956 19590 3 0 
19 19 19 38981 20850 3 0 
20 20 20 30831 17500 3 0 
21 21 21 44526 24747 3 0 
22 22 22 47081 26308 3 0 
23 23 23 49772 27901 3 0 
24 24 24 40452 24008 3 0 
25 25 25 71278 43140 3 0 
26 26 26 76238 46187 3 0 
27 27 27 81492 49322 3 0 
28 28 28 66651 42639 3 0 
29 29 29 87767 54563 3 0 
30 30 30 91896 57054 3 0 
31 31 31 96078 59577 3 0 
32 32 32 84089 54598 3 0 
33 33 33 107946 68381 3 0 
34 34 34 112615 71128 3 0 
35 35 35 117244 73907 3 0 
36 36 36 104119 68462 3 0 
37 37 37 160057 104782 3 0 
38 38 38 167655 109627 3 0 
39 39 39 175580 114560 3 0 
40 40 40 154500 105351 3 0 
41 41 41 187270 124743 3 0 
42 42 42 193530 128675 3 0 
43 43 43 199990 132639 3 0 
44 44 44 184402 126337 3 0 
45 45 45 219858 147500 3 0 
46 46 46 226791 151739 3 0 
47 47 47 234523 156010 3 0 
48 48 48 218180 149267 3 0 
49 49 49 307126 207923 3 0 
50 50 50 318703 214872 3 0 
51 51 51 330575 221909 3 0 
52 52 52 305582 210480 3 0 
53 53 53 353987 238870 3 0 
54 54 54 363975 244549 3 0 
55 55 55 374694 250260 3 0 
56 56 56 353953 242941 3 0 
57 57 57 405966 273357 3 0 
58 58 58 415144 279394 3 0 
59 59 59 424986 285463 3 0 
60 60 60 405701 277754 3 0 
61 61 61 533818 363948 3 0 
62 62 62 549933 373307 3 0 
63 63 63 564745 382754 3 0 
64 64 64 532969 369411 3 0 
80 80 80 998220 677955 3 0 
96 96 96 1580593 1088879 3 0 
112 112 112 2626274 1806829 3 0 
128 128 128 3701126 2562909 3 0 
192 192 192 12745928 8897759 3 0 
256 256 256 28842393 20176103 3 0 
1 1 1 8268 2189 4 0 
2 2 2 8848 2558 4 0 
