32, 32, 32, 46848, 18705, 8, 0 
33, 33, 33, 61495, 24336, 8, 0 
34, 34, 34, 63966, 25271, 8, 0 
35, 35, 35, 66695, 26220, 8, 0 
36, 36, 36, 55452, 23574, 8, 0 
37, 37, 37, 69095, 26425, 8, 0 
38, 38, 38, 71559, 27110, 8, 0 
39, 39, 39, 74697, 27795, 8, 0 
40, 40, 40, 62603, 27822, 8, 0 
41, 41, 41, 78910, 30942, 8, 0 
42, 42, 42, 82385, 31678, 8, 0 
43, 43, 43, 84797, 32414, 8, 9 
44, 44, 44, 72272, 32492, 8, 0 
45, 45, 45, 88509, 35853, 8, 0 
46, 46, 46, 92436, 36640, 8, 0 
47, 47, 47, 96168, 37427, 8, 0 
48, 48, 48, 87770, 37556, 8, 0 
49, 49, 49, 100932, 41144, 8, 0 
50, 50, 50, 106221, 41982, 8, 0 
51, 51, 51, 109929, 42820, 8, 9 
52, 52, 52, 95435, 43000, 8, 0 
53, 53, 53, 109057, 46871, 8, 0 
54, 54, 54, 108898, 47760, 8, 1188 
55, 55, 55, 120378, 48649, 8, 0 
56, 56, 56, 105187, 48880, 8, 0 
57, 57, 57, 125884, 53006, 8, 0 
58, 58, 58, 126681, 53946, 8, 1508 
59, 59, 59, 135078, 54886, 8, 9 
60, 60, 60, 118007, 55168, 8, 0 
61, 61, 61, 138737, 59549, 8, 0 
62, 62, 62, 143834, 60540, 8, 0 
63, 63, 63, 151697, 61531, 8, 0 
64, 64, 64, 140426, 61878, 8, 0 
64, 64, 64, 140426, 61878, 8, 0 
80, 80, 80, 329257, 186680, 8, 0 
96, 96, 96, 452899, 262086, 8, 0 
112, 112, 112, 612469, 353764, 8, 2 
128, 128, 128, 804140, 455606, 8, 0
256, 256, 256, 5920938, 3551909, 1, 112 
