32, 32, 32, 49429, 20733, 8, 0 
36, 36, 36, 57142, 25574, 8, 0 
40, 40, 40, 64459, 29822, 8, 0 
44, 44, 44, 73245, 34492, 8, 0 
48, 48, 48, 85401, 39556, 8, 44 
52, 52, 52, 91881, 45000, 8, 0 
56, 56, 56, 103153, 50880, 8, 0 
60, 60, 60, 109270, 57196, 8, 0 
64, 64, 64, 123977, 63906, 8, 8 
64, 64, 64, 123977, 63906, 8, 8 
80, 80, 80, 194511, 100372, 8, 0 
96, 96, 96, 250119, 138624, 8, 56 
112, 112, 112, 576741, 355764, 8, 12 
128, 128, 128, 569348, 238122, 8, 0
256, 256, 256, 3384110, 1805318, 1, 112 
