1 1 1 6992 1966 1 4132 
2 2 2 7461 2224 1 4132 
3 3 3 8035 2514 1 4132 
4 4 4 6726 2003 1 4132 
5 5 5 11305 4344 1 4132 
6 6 6 12509 4860 1 4132 
7 7 7 13820 5408 1 4132 
8 8 8 10249 4217 1 4132 
9 9 9 19331 9148 1 4132 
10 10 10 21067 10024 1 4132 
11 11 11 22772 10932 1 4132 
12 12 12 17490 9345 1 4132 
13 13 13 31359 17756 1 4132 
14 14 14 33361 19094 1 4132 
15 15 15 35562 20464 1 4132 
16 16 16 30201 18611 1 4132 
17 17 17 50512 31448 1 4132 
18 18 18 53681 33478 1 4132 
19 19 19 56374 35284 1 4132 
20 20 20 50214 33239 1 4132 
21 21 21 78052 51392 1 4132 
22 22 22 81798 53960 1 4132 
23 23 23 85744 56560 1 4132 
24 24 24 78893 54453 1 4132 
25 25 25 115587 78840 1 4132 
26 26 26 120369 82176 1 4132 
27 27 27 125374 85544 1 4132 
28 28 28 118033 83477 1 4132 
29 29 29 165253 115016 1 4132 
30 30 30 171342 119222 1 4132 
31 31 31 177490 123460 1 4132 
32 32 32 169108 121535 1 4132 
33 33 33 228782 161566 1 4132 
34 34 34 235923 166744 1 4132 
35 35 35 243376 171954 1 4132 
36 36 36 234927 170388 1 4132 
37 37 37 305663 219016 1 4132 
38 38 38 314450 225268 1 4132 
39 39 39 323478 231552 1 4132 
40 40 40 314661 230231 1 4132 
41 41 41 399158 288779 1 4132 
42 42 42 409556 296207 1 4132 
43 43 43 420545 303667 1 4132 
44 44 44 411764 302780 1 4132 
45 45 45 511135 372152 1 4132 
46 46 46 524445 380858 1 4132 
47 47 47 537900 389596 1 4132 
48 48 48 529922 389259 1 4132 
49 49 49 648044 470387 1 4132 
50 50 50 663703 480473 1 4132 
51 51 51 680041 490591 1 4132 
52 52 52 671714 490892 1 4132 
53 53 53 808031 584680 1 4132 
54 54 54 825659 596248 1 4132 
55 55 55 843899 607848 1 4132 
56 56 56 833616 608903 1 4132 
57 57 57 988515 716269 1 4132 
58 58 58 1006722 729421 1 4132 
59 59 59 1025387 742605 1 4132 
60 60 60 1016214 744516 1 4132 
61 61 61 1189040 866378 1 4132 
62 62 62 1210201 881216 1 4132 
63 63 63 1231289 896086 1 4132 
64 64 64 1223549 898955 1 4132 
80 80 80 2402916 1762126 1 4132 
96 96 96 4081764 3004790 1 4132 
112 112 112 6438420 4729918 1 4132 
128 128 128 9547273 7010638 1 4132 
192 192 192 32142331 23673095 1 4132 
256 256 256 75641991 55759213 1 4132 
1 1 1 7875 2184 2 4132 
2 2 2 8370 2442 2 4132 
3 3 3 8924 2732 2 4132 
4 4 4 7596 2221 2 4132 
5 5 5 9223 2900 2 4132 
6 6 6 9620 3043 2 4132 
7 7 7 9921 3186 2 4132 
8 8 8 9349 3066 2 4132 
9 9 9 17334 7298 2 4132 
10 10 10 18822 7980 2 4132 
11 11 11 20205 8694 2 4132 
12 12 12 14658 6941 2 4132 
13 13 13 18264 9128 2 4132 
14 14 14 18888 9618 2 4132 
15 15 15 19621 10108 2 4132 
16 16 16 19637 10263 2 4132 
17 17 17 36500 20710 2 4132 
18 18 18 38874 22148 2 4132 
19 19 19 40604 23362 2 4132 
20 20 20 33746 20753 2 4132 
21 21 21 40438 25424 2 4132 
22 22 22 41764 26465 2 4132 
23 23 23 43414 27506 2 4132 
24 24 24 43965 28184 2 4132 
25 25 25 73721 47470 2 4132 
26 26 26 76883 49612 2 4132 
27 27 27 80286 51786 2 4132 
28 28 28 71387 48553 2 4132 
29 29 29 83204 56700 2 4132 
30 30 30 85621 58496 2 4132 
31 31 31 88212 60292 2 4132 
32 32 32 90400 61725 2 4132 
33 33 33 137297 92773 2 4132 
34 34 34 141721 95951 2 4132 
35 35 35 145856 99161 2 4132 
36 36 36 134830 95609 2 4132 
37 37 37 152689 108216 2 4132 
38 38 38 156169 110971 2 4132 
39 39 39 160015 113726 2 4132 
40 40 40 162476 116154 2 4132 
41 41 41 228565 161119 2 4132 
42 42 42 235106 165537 2 4132 
43 43 43 242148 169987 2 4132 
44 44 44 229286 166118 2 4132 
45 45 45 255074 184277 2 4132 
46 46 46 261202 188195 2 4132 
47 47 47 268119 192113 2 4132 
48 48 48 274556 195668 2 4132 
49 49 49 364241 257442 2 4132 
50 50 50 373153 263304 2 4132 
51 51 51 381503 269198 2 4132 
52 52 52 368531 265303 2 4132 
53 53 53 404021 290012 2 4132 
54 54 54 412165 295297 2 4132 
55 55 55 420581 300582 2 4132 
56 56 56 427424 305490 2 4132 
57 57 57 543827 386711 2 4132 
58 58 58 554634 394221 2 4132 
59 59 59 565953 401763 2 4132 
60 60 60 549640 398060 2 4132 
61 61 61 595638 430325 2 4132 
62 62 62 603770 437181 2 4132 
63 63 63 614672 444037 2 4132 
64 64 64 628969 450516 2 4132 
80 80 80 1233792 882494 2 4132 
96 96 96 2096878 1503826 2 4132 
112 112 112 3300844 2366552 2 4132 
128 128 128 4895924 3506912 2 4132 
192 192 192 16468429 11840713 2 4132 
256 256 256 38623475 27886177 2 4132 
1 1 1 8018 2184 3 4132 
2 2 2 8516 2442 3 4132 
3 3 3 9080 2732 3 4132 
4 4 4 7735 2221 3 4132 
5 5 5 9049 2900 3 4132 
6 6 6 9594 3043 3 4132 
7 7 7 9806 3186 3 4132 
8 8 8 9288 3066 3 4132 
9 9 9 11321 4072 3 4132 
10 10 10 11642 4266 3 4132 
11 11 11 11864 4460 3 4132 
12 12 12 11351 4319 3 4132 
13 13 13 22579 10850 3 4132 
14 14 14 23939 11698 3 4132 
15 15 15 25491 12578 3 4132 
16 16 16 19818 10263 3 4132 
17 17 17 23538 12988 3 4132 
18 18 18 24532 13708 3 4132 
19 19 19 25063 14172 3 4132 
20 20 20 25087 14401 3 4132 
21 21 21 30114 17636 3 4132 
22 22 22 31188 18330 3 4132 
23 23 23 31986 19024 3 4132 
24 24 24 32537 19355 3 4132 
25 25 25 59671 36950 3 4132 
26 26 26 62365 38694 3 4132 
27 27 27 65186 40470 3 4132 
28 28 28 55736 36839 3 4132 
29 29 29 64838 43040 3 4132 
30 30 30 66714 44387 3 4132 
31 31 31 69149 45734 3 4132 
32 32 32 70854 46718 3 4132 
33 33 33 86943 56685 3 4132 
34 34 34 89028 58508 3 4132 
35 35 35 91247 60345 3 4132 
36 36 36 86161 58917 3 4132 
37 37 37 130361 89621 3 4132 
38 38 38 134037 92238 3 4132 
39 39 39 138243 94873 3 4132 
40 40 40 132366 93292 3 4132 
41 41 41 148423 104499 3 4132 
42 42 42 150696 106907 3 4132 
43 43 43 154354 109315 3 4132 
44 44 44 156562 111360 3 4132 
45 45 45 183132 127427 3 4132 
46 46 46 187959 130446 3 4132 
47 47 47 192717 133479 3 4132 
48 48 48 190621 132138 3 4132 
49 49 49 261584 183312 3 4132 
50 50 50 268237 187353 3 4132 
51 51 51 274844 191412 3 4132 
52 52 52 267017 190029 3 4132 
53 53 53 294799 207786 3 4132 
54 54 54 300777 211561 3 4132 
55 55 55 307467 215336 3 4132 
56 56 56 309198 218734 3 4132 
57 57 57 347508 242626 3 4132 
58 58 58 353274 247147 3 4132 
59 59 59 359911 251682 3 4132 
60 60 60 352746 250821 3 4132 
61 61 61 461998 327617 3 4132 
62 62 62 471010 333388 3 4132 
63 63 63 481537 339177 3 4132 
64 64 64 474938 338348 3 4132 
80 80 80 873043 620316 3 4132 
96 96 96 1403797 1005558 3 4132 
112 112 112 2349577 1693716 3 4132 
128 128 128 3377502 2414752 3 4132 
192 192 192 11630809 8397943 3 4132 
256 256 256 26617005 19198337 3 4132 
1 1 1 8203 2184 4 4132 
2 2 2 8662 2442 4 4132 
3 3 3 9262 2732 4 4132 
4 4 4 7869 2221 4 4132 
5 5 5 9276 2900 4 4132 
6 6 6 9799 3043 4 4132 
7 7 7 9987 3186 4 4132 
8 8 8 9459 3066 4 4132 
9 9 9 11055 4000 4 4132 
10 10 10 11401 4194 4 4132 
11 11 11 11735 4388 4 4132 
12 12 12 11308 4319 4 4132 
13 13 13 13462 5508 4 4132 
14 14 14 13761 5753 4 4132 
15 15 15 14168 5998 4 4132 
16 16 16 14659 5980 4 4132 
17 17 17 29653 15218 4 4132 
18 18 18 31330 16360 4 4132 
19 19 19 32673 17278 4 4132 
20 20 20 25338 14401 4 4132 
21 21 21 30164 17608 4 4132 
22 22 22 31041 18302 4 4132 
23 23 23 32132 18996 4 4132 
24 24 24 32415 19355 4 4132 
25 25 25 37771 23072 4 4132 
26 26 26 38941 23868 4 4132 
27 27 27 39990 24664 4 4132 
28 28 28 40358 25125 4 4132 
29 29 29 46811 29352 4 4132 
30 30 30 47875 30250 4 4132 
31 31 31 50158 31148 4 4132 
32 32 32 51622 31711 4 4132 
33 33 33 91044 58253 4 4132 
34 34 34 93734 60431 4 4132 
35 35 35 97376 62641 4 4132 
36 36 36 84885 58103 4 4132 
37 37 37 96681 65784 4 4132 
38 38 38 98453 67437 4 4132 
39 39 39 101047 69090 4 4132 
40 40 40 101986 70430 4 4132 
41 41 41 114075 78876 4 4132 
42 42 42 116779 80682 4 4132 
43 43 43 118921 82488 4 4132 
44 44 44 120179 83981 4 4132 
45 45 45 134798 93192 4 4132 
46 46 46 137258 95151 4 4132 
47 47 47 140879 97110 4 4132 
48 48 48 145839 98756 4 4132 
49 49 49 224443 150839 4 4132 
50 50 50 227635 154589 4 4132 
51 51 51 233715 158371 4 4132 
52 52 52 218236 152392 4 4132 
53 53 53 241691 166645 4 4132 
54 54 54 245459 169665 4 4132 
55 55 55 250558 172685 4 4132 
56 56 56 253041 175356 4 4132 
57 57 57 274192 190629 4 4132 
58 58 58 279341 193853 4 4132 
59 59 59 284173 197077 4 4132 
60 60 60 286216 199952 4 4132 
61 61 61 310147 216245 4 4132 
62 62 62 315648 219673 4 4132 
63 63 63 320539 223101 4 4132 
64 64 64 325860 226180 4 4132 
80 80 80 641614 442524 4 4132 
96 96 96 1083709 753190 4 4132 
112 112 112 1706104 1184700 4 4132 
128 128 128 2531611 1754880 4 4132 
192 192 192 8504742 5924113 4 4132 
256 256 256 19975252 13949025 4 4132 
1 1 1 8339 2184 5 4132 
2 2 2 8853 2442 5 4132 
3 3 3 9450 2732 5 4132 
4 4 4 8013 2221 5 4132 
5 5 5 9460 2900 5 4132 
6 6 6 9962 3043 5 4132 
7 7 7 10168 3186 5 4132 
8 8 8 9526 3066 5 4132 
9 9 9 11271 4000 5 4132 
10 10 10 11613 4194 5 4132 
11 11 11 11873 4388 5 4132 
12 12 12 11419 4319 5 4132 
13 13 13 13515 5508 5 4132 
14 14 14 13800 5753 5 4132 
15 15 15 14164 5998 5 4132 
16 16 16 14500 5980 5 4132 
17 17 17 16916 7496 5 4132 
18 18 18 17520 7920 5 4132 
19 19 19 17370 8088 5 4132 
20 20 20 17079 8049 5 4132 
21 21 21 37107 20402 5 4132 
22 22 22 39064 21582 5 4132 
23 23 23 41191 22794 5 4132 
24 24 24 32867 19355 5 4132 
25 25 25 37881 23072 5 4132 
26 26 26 39242 23868 5 4132 
27 27 27 40546 24664 5 4132 
28 28 28 40657 25125 5 4132 
29 29 29 47595 29352 5 4132 
30 30 30 48183 30250 5 4132 
31 31 31 49554 31148 5 4132 
32 32 32 50462 31711 5 4132 
33 33 33 64057 39418 5 4132 
34 34 34 65290 40741 5 4132 
35 35 35 67469 42078 5 4132 
36 36 36 62077 40164 5 4132 
37 37 37 69966 45411 5 4132 
38 38 38 71683 46535 5 4132 
39 39 39 72855 47659 5 4132 
40 40 40 73668 48470 5 4132 
41 41 41 121245 81774 5 4132 
42 42 42 124731 84029 5 4132 
43 43 43 128143 86302 5 4132 
44 44 44 121494 83981 5 4132 
45 45 45 134650 93192 5 4132 
46 46 46 138621 95151 5 4132 
47 47 47 142824 97110 5 4132 
48 48 48 146030 98756 5 4132 
49 49 49 160287 108768 5 4132 
50 50 50 163514 110880 5 4132 
51 51 51 166912 112992 5 4132 
52 52 52 169905 114755 5 4132 
53 53 53 195067 130052 5 4132 
54 54 54 199376 132780 5 4132 
55 55 55 205801 135522 5 4132 
56 56 56 198905 133232 5 4132 
57 57 57 214475 144796 5 4132 
58 58 58 217796 147236 5 4132 
59 59 59 221505 149676 5 4132 
60 60 60 224441 151767 5 4132 
61 61 61 322660 220563 5 4132 
62 62 62 327007 224620 5 4132 
63 63 63 332892 228695 5 4132 
64 64 64 326490 226180 5 4132 
80 80 80 526909 356334 5 4132 
96 96 96 911716 630240 5 4132 
112 112 112 1454012 1018372 5 4132 
128 128 128 2220970 1538736 5 4132 
192 192 192 7680277 5439643 5 4132 
256 256 256 17379017 12229761 5 4132 
1 1 1 8518 2184 6 4132 
2 2 2 9013 2442 6 4132 
3 3 3 9608 2732 6 4132 
4 4 4 8138 2221 6 4132 
5 5 5 9688 2900 6 4132 
6 6 6 10153 3043 6 4132 
7 7 7 10396 3186 6 4132 
8 8 8 9622 3066 6 4132 
9 9 9 11368 4000 6 4132 
10 10 10 11709 4194 6 4132 
11 11 11 11953 4388 6 4132 
12 12 12 11529 4319 6 4132 
13 13 13 13684 5508 6 4132 
14 14 14 14048 5753 6 4132 
15 15 15 14314 5998 6 4132 
16 16 16 14609 5980 6 4132 
17 17 17 17197 7496 6 4132 
18 18 18 17346 7920 6 4132 
19 19 19 17458 8088 6 4132 
20 20 20 17038 8049 6 4132 
21 21 21 20247 9820 6 4132 
22 22 22 20665 10167 6 4132 
23 23 23 21153 10514 6 4132 
24 24 24 21242 10526 6 4132 
25 25 25 46039 26402 6 4132 
26 26 26 48519 27748 6 4132 
27 27 27 50973 29126 6 4132 
28 28 28 40760 25125 6 4132 
29 29 29 47514 29352 6 4132 
30 30 30 48487 30250 6 4132 
31 31 31 49797 31148 6 4132 
32 32 32 51685 31711 6 4132 
33 33 33 64259 39418 6 4132 
34 34 34 65713 40741 6 4132 
35 35 35 67948 42078 6 4132 
36 36 36 61817 40164 6 4132 
37 37 37 70205 45411 6 4132 
38 38 38 72220 46535 6 4132 
39 39 39 72983 47659 6 4132 
40 40 40 73707 48470 6 4132 
41 41 41 82653 54227 6 4132 
42 42 42 84390 55453 6 4132 
43 43 43 86003 56679 6 4132 
44 44 44 86028 57592 6 4132 
45 45 45 96334 63859 6 4132 
46 46 46 98600 65187 6 4132 
47 47 47 101262 66515 6 4132 
48 48 48 105121 67530 6 4132 
49 49 49 169012 112234 6 4132 
50 50 50 172989 114867 6 4132 
51 51 51 177174 117518 6 4132 
52 52 52 169375 114755 6 4132 
53 53 53 186104 125532 6 4132 
54 54 54 190765 127797 6 4132 
55 55 55 195744 130062 6 4132 
56 56 56 194256 131978 6 4132 
