MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Chihang Laptop,CPU,3,ip1,0.66002209981282556,2015-07-07 08:08:42.875677,
Chihang Laptop,CPU,3,first step time,6350.003957748413,2015-07-07 08:08:42.875677,
Chihang Laptop,CPU,3,pool2,0.77168146769205725,2015-07-07 08:08:42.875677,
Chihang Laptop,CPU,3,pool1,1.9533634185791016,2015-07-07 08:08:42.875677,
Chihang Laptop,CPU,3,data,2.6640097300211587,2015-07-07 08:08:42.875677,
Chihang Laptop,GPU,4,mean step time,28.001070022583008,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,loss,0.35587946573893231,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,relu1,0.47763188680013019,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,ip2,0.47032038370768231,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,conv2,4.5520464579264326,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,conv1,5.777994791666667,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,ip1,2.7983188629150391,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,first step time,8527.005195617676,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,pool2,2.8323332468668618,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,pool1,4.6687126159667969,2015-07-07 08:08:51.601592,
Chihang Laptop,GPU,4,data,11.374711990356445,2015-07-07 08:08:51.601592,
Chihang Laptop,CPU,4,mean step time,10.917345682779947,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,loss,0.15163421630859375,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,relu1,0.17007191975911459,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,ip2,0.16625722249348959,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,conv2,2.1390120188395181,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,conv1,3.1147003173828125,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,ip1,0.69761276245117188,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,first step time,6417.587041854858,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,pool2,0.8486111958821615,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,pool1,2.400954564412435,2015-07-07 08:08:58.103356,
Chihang Laptop,CPU,4,data,3.2693545023600259,2015-07-07 08:08:58.103356,
Chihang Laptop,GPU,5,mean step time,31.241575876871746,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,loss,0.35635630289713544,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,relu1,0.48120816548665363,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,ip2,0.46865145365397137,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,conv2,4.9703915913899737,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,conv1,6.5083503723144531,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,ip1,2.8423468271891275,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,first step time,7954.032182693481,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,pool2,2.8640429178873696,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,pool1,5.1407019297281904,2015-07-07 08:09:06.275952,
Chihang Laptop,GPU,5,data,12.869914372762045,2015-07-07 08:09:06.275952,
Chihang Laptop,CPU,5,mean step time,12.765645980834961,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,loss,0.15703837076822916,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,relu1,0.17571449279785156,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,ip2,0.17031033833821616,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,conv2,2.5409857432047525,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,conv1,3.7424564361572266,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,ip1,0.80434481302897132,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,first step time,6290.38405418396,2015-07-07 08:09:12.663709,
Chihang Laptop,CPU,5,pool2,0.980377197265625,2015-07-07 08:09:12.663709,
