MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Chihang Laptop,CPU,11,first step time,57971.230030059814,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,norm2,9.9842548370361328,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool3,0.63482920328776038,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool2,10.457038879394531,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool1,40.76568285624186,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,data,49.41741625467936,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,norm1,37.008603413899742,2015-07-07 10:42:19.134356,
Chihang Laptop,GPU,21,mean step time,211.54260635375977,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,loss,0.53334236145019531,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,pool1_relu1_0_split,53.905328114827476,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu3,1.3640721638997395,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu2,16.412258148193359,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu1,46.201308568318687,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,conv3,13.56665293375651,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,conv2,36.331653594970703,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,conv1,58.708985646565758,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,ip1,0.75276692708333337,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,first step time,74544.14987564087,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,norm2,15.26935895284017,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,pool3,1.1657079060872395,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,pool2,17.77203877766927,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,pool1,46.929279963175453,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,data,118.87605985005696,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,norm1,44.13874944051107,2015-07-07 10:43:35.751824,
Chihang Laptop,CPU,21,mean step time,210.5860710144043,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,loss,0.29468536376953125,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,pool1_relu1_0_split,70.793072382609054,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,relu3,1.0616779327392578,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,relu2,19.639968872070312,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,relu1,70.57102521260579,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,conv3,15.215873718261719,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,conv2,53.213993708292641,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,conv1,92.901706695556641,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,ip1,0.48732757568359375,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,first step time,85584.89108085632,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,norm2,18.914699554443359,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,pool3,0.90765953063964844,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,pool2,19.26732063293457,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,pool1,86.050669352213546,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,data,93.648989995320633,2015-07-07 10:45:03.825100,
Chihang Laptop,CPU,21,norm1,70.474386215209961,2015-07-07 10:45:03.825100,
Chihang Laptop,GPU,31,mean step time,267.92375246683758,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,loss,0.51299730936686194,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,pool1_relu1_0_split,66.434303919474289,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,relu3,1.6556580861409504,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,relu2,25.613705317179363,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,relu1,66.934029261271164,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,conv3,20.445982615152996,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,conv2,56.858301162719727,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,conv1,97.09930419921875,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,ip1,0.76254208882649743,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,first step time,62802.244901657104,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,norm2,23.194551467895508,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,pool3,1.3710657755533855,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,pool2,23.309707641601562,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,pool1,72.293758392333984,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,data,172.17961947123209,2015-07-07 10:46:09.540806,
Chihang Laptop,GPU,31,norm1,66.439390182495117,2015-07-07 10:46:09.540806,
Chihang Laptop,CPU,31,mean step time,316.43231709798175,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,loss,0.29969215393066406,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,pool1_relu1_0_split,103.75912984212239,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,relu3,1.3399124145507812,2015-07-07 10:47:45.160273,
