MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Jetson TK1,CPU,30,pool2,9.0614557266235352,2015-07-07 17:36:05.226094,
Jetson TK1,CPU,30,pool1,46.509385108947754,2015-07-07 17:36:05.226094,
Jetson TK1,CPU,30,data,56.10203742980957,2015-07-07 17:36:05.226094,
Jetson TK1,GPU,35,mean step time,60.324430465698242,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,loss,3.7200450897216797,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,relu1,4.2314529418945312,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,ip2,4.0963888168334961,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,conv2,11.623024940490723,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,conv1,17.615079879760742,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,ip1,4.5859813690185547,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,first step time,5142.421007156372,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,pool2,4.6925544738769531,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,pool1,12.026429176330566,2015-07-07 17:36:10.981320,
Jetson TK1,GPU,35,data,21.407008171081543,2015-07-07 17:36:10.981320,
Jetson TK1,CPU,35,mean step time,187.41500377655029,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,loss,0.52440166473388672,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,relu1,0.82111358642578125,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,ip2,0.67305564880371094,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,conv2,71.004509925842285,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,conv1,64.759492874145508,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,ip1,9.2073678970336914,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,first step time,18443.346977233887,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,pool2,10.802030563354492,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,pool1,54.171919822692871,2015-07-07 17:36:30.759713,
Jetson TK1,CPU,35,data,65.400481224060059,2015-07-07 17:36:30.759713,
Jetson TK1,GPU,40,mean step time,50.627589225769043,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,loss,6.1964988708496094,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,relu1,3.1745433807373047,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,ip2,7.0574283599853516,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,conv2,14.881372451782227,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,conv1,25.865435600280762,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,ip1,4.5164823532104492,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,first step time,5223.948001861572,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,pool2,5.1795244216918945,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,pool1,15.538454055786133,2015-07-07 17:36:36.630475,
Jetson TK1,GPU,40,data,27.283430099487305,2015-07-07 17:36:36.630475,
Jetson TK1,CPU,40,mean step time,207.97145366668701,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,loss,0.53751468658447266,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,relu1,0.87499618530273438,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,ip2,0.74410438537597656,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,conv2,56.730985641479492,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,conv1,72.694540023803711,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,ip1,9.4904899597167969,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,first step time,18460.26086807251,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,pool2,11.40284538269043,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,pool1,60.963988304138184,2015-07-07 17:36:56.439287,
Jetson TK1,CPU,40,data,73.610424995422363,2015-07-07 17:36:56.439287,
Jetson TK1,GPU,45,mean step time,50.904989242553711,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,loss,4.4615268707275391,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,relu1,4.006505012512207,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,ip2,4.1490793228149414,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,conv2,15.134096145629883,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,conv1,20.069599151611328,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,ip1,5.2640438079833984,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,first step time,5960.063934326172,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,pool2,5.001068115234375,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,pool1,14.078974723815918,2015-07-07 17:37:03.062937,
Jetson TK1,GPU,45,data,23.393988609313965,2015-07-07 17:37:03.062937,
Jetson TK1,CPU,45,mean step time,236.55843734741211,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,loss,0.553131103515625,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,relu1,0.92732906341552734,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,ip2,0.78308582305908203,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,conv2,64.073443412780762,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,conv1,102.944016456604,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,ip1,10.622501373291016,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,first step time,18479.673147201538,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,pool2,12.72737979888916,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,pool1,69.216489791870117,2015-07-07 17:37:23.109922,
Jetson TK1,CPU,45,data,82.566499710083008,2015-07-07 17:37:23.109922,
Jetson TK1,GPU,50,mean step time,46.416521072387695,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,loss,3.0270814895629883,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,relu1,3.1989812850952148,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,ip2,3.0825138092041016,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,conv2,12.00103759765625,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,conv1,20.348906517028809,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,ip1,4.0659904479980469,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,first step time,5518.621921539307,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,pool2,3.993988037109375,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,pool1,11.934995651245117,2015-07-07 17:37:29.207366,
Jetson TK1,GPU,50,data,20.797491073608398,2015-07-07 17:37:29.207366,
Jetson TK1,CPU,50,mean step time,280.39848804473877,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,loss,0.55861473083496094,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,relu1,0.97203254699707031,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,ip2,0.93710422515869141,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,conv2,71.727991104125977,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,conv1,92.090487480163574,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,ip1,12.55643367767334,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,first step time,18497.407913208008,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,pool2,14.907479286193848,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,pool1,77.179431915283203,2015-07-07 17:37:49.399356,
Jetson TK1,CPU,50,data,92.626452445983887,2015-07-07 17:37:49.399356,
Jetson TK1,GPU,55,mean step time,53.450465202331543,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,loss,2.9699802398681641,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,relu1,3.1465291976928711,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,ip2,3.2994747161865234,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,conv2,14.180898666381836,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,conv1,23.129940032958984,2015-07-07 17:37:55.103375,
